season,raceId,constructorId,driverId,time,fstLap,fstLapTime,number,grid,position,laps,statusId
2022,Emilia Romagna Grand Prix,red_bull,max_verstappen,30:39.567,14.0,1:19.154,1,1,1,21,Finished
2022,Emilia Romagna Grand Prix,ferrari,leclerc,+2.975,11.0,1:19.044,16,2,2,21,Finished
2022,Emilia Romagna Grand Prix,red_bull,perez,+4.721,14.0,1:19.012,11,7,3,21,Finished
2022,Emilia Romagna Grand Prix,ferrari,sainz,+17.578,14.0,1:19.251,55,10,4,21,Finished
2022,Emilia Romagna Grand Prix,mclaren,norris,+24.561,9.0,1:20.030,4,3,5,21,Finished
2022,Emilia Romagna Grand Prix,mclaren,ricciardo,+27.740,12.0,1:20.328,3,6,6,21,Finished
2022,Emilia Romagna Grand Prix,alfa,bottas,+28.133,9.0,1:20.219,77,8,7,21,Finished
2022,Emilia Romagna Grand Prix,haas,kevin_magnussen,+30.712,6.0,1:20.557,20,4,8,21,Finished
2022,Emilia Romagna Grand Prix,alpine,alonso,+32.278,10.0,1:20.639,14,5,9,21,Finished
2022,Emilia Romagna Grand Prix,haas,mick_schumacher,+33.773,15.0,1:20.567,47,12,10,21,Finished
2022,Emilia Romagna Grand Prix,mercedes,russell,+36.284,19.0,1:20.756,63,11,11,21,Finished
2022,Emilia Romagna Grand Prix,alphatauri,tsunoda,+38.298,20.0,1:20.909,22,16,12,21,Finished
2022,Emilia Romagna Grand Prix,aston_martin,vettel,+40.177,8.0,1:21.044,5,9,13,21,Finished
2022,Emilia Romagna Grand Prix,mercedes,hamilton,+41.459,9.0,1:20.663,44,13,14,21,Finished
2022,Emilia Romagna Grand Prix,aston_martin,stroll,+42.910,14.0,1:20.948,18,15,15,21,Finished
2022,Emilia Romagna Grand Prix,alpine,ocon,+43.517,14.0,1:20.995,31,19,16,21,Finished
2022,Emilia Romagna Grand Prix,alphatauri,gasly,+43.794,18.0,1:20.599,10,17,17,21,Finished
2022,Emilia Romagna Grand Prix,williams,albon,+48.871,14.0,1:21.020,23,20,18,21,Finished
2022,Emilia Romagna Grand Prix,williams,latifi,+52.017,16.0,1:21.437,6,18,19,21,Finished
2022,Emilia Romagna Grand Prix,alfa,zhou,,,,24,0,20,0,Retired
